batch,episode_len,loss,entropy,kl,explained_var_old,explained_var_new,win_ratio,pure_mcts_playout_num,collect_data_time_s,train_data_time_s,evaluate_time_s
100,13,1.2700577974319458,1.0619287490844727,0.015015184,0.7453239480577536,0.7715178975877801,0.65,50,71.83533525466919,36.8688178062439,24.598411083221436
200,17,0.9771751761436462,0.7611993551254272,0.01614521,0.8542246819311021,0.8693939558492305,0.9,50,132.28237318992615,98.5873670578003,44.894957304000854
300,12,0.9297970533370972,0.6179217100143433,0.0018593238,0.7777581330912962,0.7794867906446674,0.65,50,182.2206654548645,163.0611252784729,65.51898670196533
400,14,1.2901508808135986,0.7041647434234619,0.0075423215,0.5776606496194341,0.6039389820518534,0.9,50,241.97132563591003,226.7120554447174,87.82433557510376
500,15,0.9519139528274536,0.4853885769844055,0.008978696,0.7062282468556234,0.7151439774609173,0.7,50,301.7178566455841,292.3687334060669,103.35950827598572
600,13,1.0095086097717285,0.5491962432861328,0.00028349046,0.6231567602632636,0.6275454845051307,0.8,50,368.16746640205383,363.32268834114075,127.91225528717041
700,25,0.991539716720581,0.5676010251045227,0.0005499072,0.6603868706209566,0.6800249969955858,0.95,50,422.9859883785248,427.3243017196655,144.4970817565918
800,10,1.1285043954849243,0.48718076944351196,0.00013570438,0.47541539706464,0.4829816129488922,0.8,50,479.8703737258911,492.1851444244385,161.0936405658722
900,7,1.2819366455078125,0.6929597854614258,0.00081612705,0.5770445118940217,0.5914123782010672,0.6,50,537.6138379573822,563.7601113319397,177.69915127754211
1000,11,1.0589467287063599,0.5655004382133484,0.0025484248,0.6191188145525134,0.6234566483671891,1.0,50,589.0075814723969,626.8542592525482,193.25407099723816
1100,10,0.98554527759552,0.5347151756286621,0.007005309,0.651890969276264,0.65516807144624,0.7,150,653.3628716468811,698.7779729366302,212.8729476928711
1200,13,0.8926771879196167,0.5122233033180237,0.0005561236,0.7020856605174002,0.7055827541420473,0.9,150,720.8512687683105,779.3164727687836,233.59603428840637
1300,12,0.8350618481636047,0.4038560390472412,0.0011775035,0.6307319028830349,0.6480987039237176,0.9,150,782.7096471786499,845.6987066268921,254.10671496391296
1400,11,1.0094860792160034,0.5000255703926086,0.00217104,0.5678971296992281,0.5732768649470975,0.7,150,841.1193640232086,909.5954422950745,273.92885994911194
1500,14,0.8325549960136414,0.4048425555229187,0.014515639,0.6391002301331506,0.6523248750377881,0.7,150,912.2690873146057,980.5798001289368,306.53675985336304
1600,7,0.8125292658805847,0.4686715006828308,0.0011400165,0.7755684566932034,0.7941733202395387,0.75,150,976.5516858100891,1046.6970369815826,330.6473617553711
1700,9,0.8978748321533203,0.4665529429912567,0.013851983,0.6579549580496737,0.6637148549693503,0.9,150,1039.9878664016724,1112.851919412613,352.2917289733887
1800,7,0.9079671502113342,0.4360331892967224,0.000709878,0.5884798440029602,0.5990230138669919,0.6,150,1108.3594269752502,1181.3625729084015,399.7197906970978
1900,14,0.959004819393158,0.42191699147224426,0.025838535,0.6372207187226187,0.6597836673195863,0.7,150,1172.773900270462,1246.2224478721619,418.63474225997925
2000,15,0.9170799851417542,0.3982631266117096,0.00045339073,0.5187563428831548,0.5615596361531867,0.9,150,1254.8353238105774,1320.6089661121368,455.1001989841461
2100,20,0.8436806797981262,0.40013572573661804,0.006256536,0.6011375609957492,0.6149645738217162,0.85,150,1326.6600890159607,1389.3590230941772,502.715886592865
2200,8,1.0944896936416626,0.5352099537849426,0.0033061793,0.5359757676477512,0.5398806815482455,0.6,150,1425.8417148590088,1492.8747210502625,532.6332511901855
2300,7,0.7674746513366699,0.37123173475265503,9.263203e-05,0.6361169104661635,0.6409018709730223,0.8,150,1497.0666782855988,1559.6576042175293,555.6515052318573
2400,9,0.8195542693138123,0.31246697902679443,0.00071582245,0.5114466604353822,0.5270800712732395,0.75,150,1588.1344194412231,1648.0126645565033,578.3459286689758
2500,10,0.7913057804107666,0.342892050743103,0.0057320665,0.6509141584325515,0.6607969279944506,0.9,150,1650.1909894943237,1716.8363454341888,600.7872583866119
2600,13,1.0012937784194946,0.4119316041469574,0.0008759826,0.5485245515638553,0.573692296508291,0.85,150,1708.7162127494812,1784.3656795024872,626.7989943027496
2700,11,0.6671611666679382,0.4013345241546631,0.00088044367,0.7881097656829255,0.805418535839469,0.9,150,1823.149356842041,1893.954113483429,649.065806388855
2800,23,1.0548406839370728,0.544603705406189,0.00707547,0.533770848856888,0.5435189571591134,0.7,150,1889.3742370605469,1959.0575931072235,671.892659664154
2900,14,0.9039756059646606,0.37569311261177063,0.012002317,0.5070538020344222,0.5139905079239036,0.85,150,1988.8986060619354,2047.5657496452332,698.8248760700226
3000,9,0.648889422416687,0.2939576506614685,0.009671445,0.7293120958442922,0.7363157091079762,0.7,150,2059.870012998581,2118.8187415599823,725.1978805065155
3100,9,0.8212763667106628,0.4162827134132385,0.00061929616,0.6617984179685725,0.6702651540023143,0.6,150,2169.203366279602,2224.2974739074707,753.0677363872528
3200,12,0.8035867214202881,0.3414555490016937,0.003771407,0.5917012768343674,0.5964338511814378,1.0,150,2246.513459444046,2305.071322441101,781.3399043083191
3300,12,0.9877423048019409,0.4455009996891022,0.0059643984,0.5808838457748537,0.5994547608399035,0.65,250,2306.3568892478943,2371.7794137001038,807.760550737381
3400,9,0.7618814706802368,0.41346561908721924,0.0066622803,0.7042998798216501,0.713605787271173,0.75,250,2369.70765209198,2436.7475249767303,832.5471353530884
3500,11,0.7859026193618774,0.4137898087501526,0.00018903763,0.6975271734154531,0.7017769635115473,0.45,250,2433.2084085941315,2503.079000234604,860.610429763794
3600,7,0.7627663612365723,0.3696467876434326,0.00073848915,0.6788691686658543,0.687572704073179,0.45,250,2491.484757900238,2570.938481092453,898.5212802886963
3700,9,0.8606551885604858,0.38365137577056885,0.00026018673,0.5136679050268802,0.523174340462649,0.65,250,2588.6065163612366,2675.0978922843933,925.705650806427
3800,15,0.8470844030380249,0.44374823570251465,0.021827428,0.6094663725403848,0.6133538199843047,0.85,250,2654.429491996765,2740.222460746765,948.6747996807098
3900,7,0.9211742877960205,0.39301052689552307,0.0006959087,0.5962314262896521,0.6004417844224118,0.55,250,2716.8124527931213,2810.1005935668945,973.0446293354034
4000,10,0.9847911596298218,0.41701608896255493,0.006056218,0.5327794521343618,0.5571165422307967,0.55,250,2782.521001815796,2886.6222052574158,996.046911239624
4100,25,0.9938958287239075,0.5882633328437805,0.004540309,0.6510456621289564,0.6564494377227621,0.5,250,2835.482315301895,2952.041914463043,1023.4763112068176
4200,14,1.0824954509735107,0.6017132997512817,0.003116255,0.5816440462758106,0.5837233775487891,0.5,250,2896.320557832718,3016.0537824630737,1053.519559621811
4300,13,0.9666393995285034,0.5612388253211975,0.00065146235,0.6070521091341889,0.6225022085289311,0.4,250,2983.027064561844,3096.775988340378,1084.5885920524597
4400,13,0.7607229948043823,0.34033435583114624,0.002754722,0.6726791419974054,0.7005815468116225,0.55,250,3040.0748615264893,3159.3852710723877,1113.55637717247
4500,8,0.7838537693023682,0.3093087077140808,0.00034115138,0.5082826760884447,0.5229537371904879,0.75,250,3102.062043428421,3223.6269443035126,1142.4462752342224
4600,21,0.7471303343772888,0.2676824927330017,0.013648443,0.5240486532523365,0.543387785695232,0.8,250,3166.6465125083923,3288.5782809257507,1164.8095707893372
4700,9,0.5310744643211365,0.22612516582012177,0.00010590379,0.7492843976891331,0.756379306801098,0.6,250,3222.2981491088867,3348.622647047043,1190.7175290584564
4800,25,0.6281648278236389,0.2679296135902405,0.013241041,0.7077411048062372,0.7113995423649482,0.55,250,3283.554886817932,3409.072475194931,1220.498710155487
4900,15,0.798840343952179,0.4370287358760834,0.0014198968,0.6104809774112603,0.6161442068832474,0.65,250,3341.6246206760406,3475.155685186386,1241.666452407837
5000,10,0.8005808591842651,0.3572590947151184,0.0016522404,0.5453848948345625,0.5522728345158444,0.85,250,3403.9217009544373,3543.2544338703156,1266.117907524109
